import time: self [us] | cumulative | imported package
import time:      2967 |       2967 |                 pydantic.functional_validators
import time:       501 |        501 |                   pydantic._internal._core_metadata
import time:       364 |        364 |                   pydantic._internal._schema_generation_shared
import time:      1965 |       2829 |                 pydantic.json_schema
import time:       441 |        441 |                 pydantic._internal._discriminated_union
import time:       402 |        402 |                 pydantic._internal._known_annotated_metadata
import time:       684 |        684 |                 pydantic._internal._schema_gather
import time:      1358 |      16417 |               pydantic._internal._generate_schema
import time:       371 |        371 |               pydantic._internal._signature
import time:       579 |      17366 |             pydantic._internal._model_construction
import time:       814 |        814 |               http
import time:       359 |       1173 |             starlette.exceptions
import time:      6218 |       6218 |               annotated_types
import time:       633 |        633 |               pydantic._internal._validators
import time:      4965 |       4965 |               pydantic.types
import time:      1840 |      13655 |             pydantic.fields
import time:       317 |        317 |                     importlib._abc
import time:       158 |        474 |                   importlib.util
import time:       433 |        433 |                     zipfile._path.glob
import time:       678 |       1110 |                   zipfile._path
import time:      1071 |       2654 |                 zipfile
import time:      2706 |       2706 |                 importlib.metadata._meta
import time:       511 |        511 |                 importlib.metadata._collections
import time:       306 |        306 |                 importlib.metadata._functools
import time:       355 |        355 |                 importlib.metadata._itertools
import time:       515 |        515 |                       importlib.resources.abc
import time:       611 |       1125 |                     importlib.resources._common
import time:       364 |        364 |                     importlib.resources._functional
import time:       375 |       1863 |                   importlib.resources
import time:       543 |       2406 |                 importlib.abc
import time:      1226 |      10161 |               importlib.metadata
import time:       377 |      10538 |             pydantic.plugin._loader
import time:     12361 |      88334 |           fastapi.exceptions
import time:       379 |        379 |             fastapi.openapi
import time:       294 |        294 |                 fastapi.types
import time:       720 |        720 |                   shlex
import time:       408 |        408 |                   starlette.concurrency
import time:       354 |        354 |                   starlette.types
import time:      1077 |       2557 |                 starlette.datastructures
import time:       476 |       3327 |               fastapi._compat.shared
import time:       289 |        289 |                 fastapi.openapi.constants
import time:      1627 |       1916 |               fastapi._compat.v2
import time:       356 |       5599 |             fastapi._compat
import time:       340 |        340 |             fastapi.logger
import time:       304 |        304 |             email_validator
import time:     59657 |      66277 |           fastapi.openapi.models
import time:       665 |        665 |           fastapi.datastructures
import time:      2282 |     157557 |         fastapi.params
import time:       414 |        414 |           fastapi.dependencies
import time:       267 |        267 |                 fastapi.security.base
import time:      1209 |       1209 |                   http.cookies
import time:       584 |        584 |                   starlette._utils
import time:       914 |        914 |                           python_multipart.exceptions
import time:       401 |       1314 |                         python_multipart.decoders
import time:       989 |       2303 |                       python_multipart.multipart
import time:       531 |       2833 |                     python_multipart
import time:      1031 |       3864 |                   starlette.formparsers
import time:       619 |       6274 |                 starlette.requests
import time:       595 |       7135 |               fastapi.security.api_key
import time:       258 |        258 |                 fastapi.security.utils
import time:      1160 |       1418 |               fastapi.security.http
import time:       962 |        962 |                 fastapi.param_functions
import time:      1133 |       2095 |               fastapi.security.oauth2
import time:       363 |        363 |               fastapi.security.open_id_connect_url
import time:       463 |      11473 |             fastapi.security
import time:        34 |      11506 |           fastapi.security.base
import time:      1695 |      13614 |         fastapi.dependencies.models
import time:       272 |        272 |             starlette.background
import time:       319 |        590 |           fastapi.background
import time:       292 |        292 |           fastapi.concurrency
import time:       317 |        317 |           fastapi.utils
import time:      1269 |       1269 |               _hashlib
import time:        55 |         55 |               _blake2
import time:       495 |       1818 |             hashlib
import time:       484 |        484 |               hmac
import time:       494 |        978 |             secrets
import time:       514 |       3309 |           starlette.responses
import time:       582 |        582 |           starlette.websockets
import time:      1374 |       6461 |         fastapi.dependencies.utils
import time:       357 |        357 |             colorsys
import time:       675 |       1032 |           pydantic.color
import time:       363 |        363 |             pydantic_extra_types
